uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
spotify:track:6pupcurqRceRKr1IjdM5nS,262693,8,1,4,0.168,0.553,0.812,4.98e-05,0.225,-3.607,0.268,0.265,147.76
spotify:track:3RjZPlsPExqGxYEsBRi1oY,267930,10,0,4,0.329,0.694,0.824,0.0559,0.136,-4.477,0.459,0.117,183.985
spotify:track:5RYfvRGELWIr0UFPDZJMsK,279863,1,1,4,0.0745,0.769,0.949,1.55e-05,0.222,-5.709,0.313,0.43,142.033
spotify:track:475SvHOt2z2mp5dK2pjSJ8,171013,9,0,5,0.278,0.889,0.596,0.0,0.0798,-8.23,0.397,0.899,97.994
spotify:track:1ZnLtcV93kvm5Mz7wXVQ3z,242853,1,1,4,0.000729,0.56,0.767,4.22e-06,0.342,-4.328,0.125,0.169,83.907
spotify:track:1PVza5KmhSJhz12OewWciE,226963,10,0,4,0.104,0.691,0.75,0.0,0.123,-3.934,0.347,0.345,143.744
spotify:track:0gV5B7zmJkS1aaH9APokrH,175213,8,1,4,0.0355,0.782,0.633,0.0,0.0615,-4.644,0.341,0.749,150.055
spotify:track:0PeWHVfXWa2rgosd8sURLn,125557,0,1,4,0.126,0.83,0.631,0.224,0.12,-4.949,0.296,0.358,129.021
spotify:track:1AgSUWSzmza5jF6ER5R68v,128409,5,0,4,0.016,0.88,0.58,3.83e-06,0.0936,-5.032,0.0438,0.754,124.003
spotify:track:3au0pvHqcTtszysswan6AO,162750,7,1,4,0.0192,0.902,0.497,0.0,0.109,-9.236,0.266,0.463,120.016
spotify:track:3eCulo5yg6EwkTfYcy1Xmh,128140,5,0,4,0.172,0.97,0.507,0.0,0.0939,-5.469,0.148,0.879,120.022
spotify:track:5uNhWDGP1gXxS2IZl2alGx,189613,1,1,4,0.0674,0.812,0.606,0.00245,0.173,-6.768,0.0448,0.0813,132.976
spotify:track:6hmFeFu84Kukd73LOwdjtZ,195320,1,1,4,0.468,0.795,0.811,0.0,0.0907,-4.376,0.157,0.451,142.974
spotify:track:7vp3xIWZQlUVocIGXJ8acq,211200,1,1,4,0.0193,0.754,0.46,0.0,0.146,-8.752,0.0479,0.0759,129.028
spotify:track:7vp3xIWZQlUVocIGXJ8acq,211200,1,1,4,0.0193,0.754,0.46,0.0,0.146,-8.752,0.0479,0.0759,129.028
spotify:track:6kqPWdv1pNXp6A2CowGSFA,135493,8,1,4,0.0157,0.832,0.491,1.34e-05,0.651,-5.721,0.109,0.0561,129.979
spotify:track:78UTxmRQSmwp8CxfEr4r9o,259798,10,0,4,0.00728,0.693,0.422,3.16e-05,0.0882,-11.75,0.0662,0.23,128.145
spotify:track:1uhw4ADHqx9ftHgdPzMZEp,208867,5,1,3,0.0413,0.508,0.778,0.0,0.267,-6.407,0.45,0.444,179.111
spotify:track:02e5acaHnJXGFnyQJms8wB,146000,10,0,4,0.513,0.689,0.829,0.0,0.238,-4.207,0.354,0.645,104.046
